driverId,lap,stop,duration,Season,Round
alonso,18,1,20.571,2022,8
norris,20,1,21.443,2022,8
mick_schumacher,23,2,22.231,2022,8
albon,29,2,21.54,2022,8
stroll,30,1,22.059,2022,8
max_verstappen,33,2,20.722,2022,8
perez,33,2,22.349,2022,8
russell,33,2,20.527,2022,8
hamilton,33,2,20.831,2022,8
ricciardo,33,1,21.794,2022,8
ocon,33,1,22.638,2022,8
bottas,33,1,20.979,2022,8
tsunoda,38,2,41.5,2022,8
vettel,5,1,23.406,2022,9
gasly,5,1,23.557,2022,9
kevin_magnussen,7,1,38.262,2022,9
max_verstappen,9,1,24.217,2022,9
hamilton,9,1,23.845,2022,9
tsunoda,9,1,23.248,2022,9
latifi,9,1,24.02,2022,9
albon,18,1,23.804,2022,9
russell,19,1,23.951,2022,9
ocon,19,1,25.684,2022,9
zhou,19,1,24.281,2022,9
ricciardo,19,1,27.937,2022,9
norris,19,1,43.032,2022,9
vettel,19,2,23.681,2022,9
sainz,20,1,24.215,2022,9
alonso,28,1,23.779,2022,9
gasly,36,2,23.613,2022,9
latifi,37,2,30.034,2022,9
leclerc,41,1,26.199,2022,9
max_verstappen,43,2,23.704,2022,9
norris,42,2,24.134,2022,9
hamilton,44,2,23.841,2022,9
russell,45,2,24.069,2022,9
stroll,47,1,25.252,2022,9
tsunoda,47,2,23.45,2022,9
sainz,49,2,24.881,2022,9
albon,48,2,23.53,2022,9
ocon,49,2,23.945,2022,9
alonso,49,2,25.139,2022,9
bottas,49,1,26.089,2022,9
perez,5,2,37.302,2022,10
vettel,6,2,29.846,2022,10
max_verstappen,12,2,29.395,2022,10
stroll,15,2,28.632,2022,10
gasly,16,2,29.632,2022,10
tsunoda,18,2,34.759,2022,10
latifi,19,2,28.829,2022,10
mick_schumacher,19,2,29.147,2022,10
sainz,20,2,28.574,2022,10
ricciardo,20,2,30.262,2022,10
ocon,22,2,30.342,2022,10
kevin_magnussen,22,2,29.473,2022,10
max_verstappen,23,3,29.296,2022,10
perez,1,1,23.681,2022,11
bottas,6,1,24.677,2022,11
russell,11,1,38.201,2022,11
albon,11,1,22.301,2022,11
ricciardo,12,1,21.356,2022,11
gasly,12,1,22.724,2022,11
latifi,12,1,21.722,2022,11
max_verstappen,13,1,22.022,2022,11
norris,14,1,22.684,2022,11
kevin_magnussen,15,1,22.205,2022,11
ocon,16,1,21.755,2022,11
mick_schumacher,16,1,22.12,2022,11
vettel,20,1,22.112,2022,11
