driverId,position,time,number,Season,Round
vettel,7,77.92099999999999,5,2021,5
perez,8,78.945,5,2021,5
giovinazzi,9,78.636,5,2021,5
ocon,10,78.54599999999999,5,2021,5
stroll,11,78.626,5,2021,5
raikkonen,12,78.913,5,2021,5
ricciardo,13,79.588,5,2021,5
alonso,14,79.757,5,2021,5
russell,15,79.608,5,2021,5
latifi,16,79.51599999999999,5,2021,5
tsunoda,17,79.373,5,2021,5
mick_schumacher,18,79.362,5,2021,5
mazepin,19,79.598,5,2021,5
max_verstappen,1,77.14699999999999,6,2021,5
bottas,2,76.863,6,2021,5
sainz,3,76.988,6,2021,5
norris,4,77.048,6,2021,5
gasly,5,77.393,6,2021,5
leclerc,1,112.162,1,2021,6
hamilton,2,112.533,1,2021,6
max_verstappen,3,113.23599999999999,1,2021,6
perez,4,114.523,1,2021,6
gasly,5,115.24000000000001,1,2021,6
sainz,6,115.799,1,2021,6
alonso,7,117.10900000000001,1,2021,6
tsunoda,8,117.578,1,2021,6
vettel,9,118.358,1,2021,6
bottas,10,119.467,1,2021,6
ocon,11,120.049,1,2021,6
norris,12,120.202,1,2021,6
ricciardo,13,120.631,1,2021,6
raikkonen,14,121.534,1,2021,6
giovinazzi,15,122.391,1,2021,6
stroll,16,124.253,1,2021,6
latifi,17,124.905,1,2021,6
mick_schumacher,18,125.671,1,2021,6
mazepin,19,126.029,1,2021,6
russell,20,128.197,1,2021,6
hamilton,1,109.23599999999999,2,2021,6
leclerc,2,109.672,2,2021,6
max_verstappen,3,109.55,2,2021,6
perez,4,109.18,2,2021,6
gasly,5,109.031,2,2021,6
sainz,6,109.542,2,2021,6
alonso,7,110.062,2,2021,6
tsunoda,8,110.071,2,2021,6
vettel,9,110.157,2,2021,6
bottas,10,110.418,2,2021,6
ocon,11,110.85,2,2021,6
norris,12,111.29599999999999,2,2021,6
ricciardo,13,110.97200000000001,2,2021,6
raikkonen,14,111.655,2,2021,6
stroll,15,111.39500000000001,2,2021,6
latifi,16,112.208,2,2021,6
mick_schumacher,17,112.393,2,2021,6
giovinazzi,18,115.997,2,2021,6
mazepin,19,113.144,2,2021,6
russell,20,127.33,2,2021,6
hamilton,1,108.06,3,2021,6
leclerc,2,108.74600000000001,3,2021,6
max_verstappen,3,108.03999999999999,3,2021,6
perez,4,108.644,3,2021,6
gasly,5,109.207,3,2021,6
sainz,6,109.3,3,2021,6
alonso,7,108.75999999999999,3,2021,6
tsunoda,8,108.53399999999999,3,2021,6
vettel,9,109.02000000000001,3,2021,6
bottas,10,109.315,3,2021,6
norris,11,109.911,3,2021,6
ricciardo,12,110.24600000000001,3,2021,6
raikkonen,13,111.973,3,2021,6
stroll,14,109.532,3,2021,6
latifi,15,110.685,3,2021,6
mick_schumacher,16,110.49000000000001,3,2021,6
mazepin,17,111.22,3,2021,6
ocon,18,130.806,3,2021,6
giovinazzi,19,126.274,3,2021,6
russell,20,110.787,3,2021,6
hamilton,1,107.462,4,2021,6
leclerc,2,107.6,4,2021,6
max_verstappen,3,107.826,4,2021,6
perez,4,107.842,4,2021,6
gasly,5,107.938,4,2021,6
sainz,6,108.563,4,2021,6
alonso,7,108.662,4,2021,6
tsunoda,8,108.99799999999999,4,2021,6
vettel,9,108.42699999999999,4,2021,6
bottas,10,109.208,4,2021,6
norris,11,107.49000000000001,4,2021,6
ricciardo,12,108.63499999999999,4,2021,6
stroll,13,108.911,4,2021,6
raikkonen,14,110.255,4,2021,6
latifi,15,109.947,4,2021,6
mick_schumacher,16,110.588,4,2021,6
mazepin,17,109.955,4,2021,6
giovinazzi,18,108.836,4,2021,6
russell,19,109.894,4,2021,6
hamilton,1,107.642,5,2021,6
leclerc,2,107.25999999999999,5,2021,6
max_verstappen,3,107.107,5,2021,6
perez,4,107.157,5,2021,6
gasly,5,107.643,5,2021,6
sainz,6,107.79599999999999,5,2021,6
alonso,7,108.44800000000001,5,2021,6
tsunoda,8,108.142,5,2021,6
vettel,9,108.787,5,2021,6
bottas,10,108.22200000000001,5,2021,6
norris,11,109.001,5,2021,6
ricciardo,12,108.40100000000001,5,2021,6
stroll,13,108.862,5,2021,6
raikkonen,14,108.86500000000001,5,2021,6
latifi,15,109.47200000000001,5,2021,6
mick_schumacher,16,110.10300000000001,5,2021,6
mazepin,17,109.87100000000001,5,2021,6
giovinazzi,18,108.592,5,2021,6
russell,19,109.098,5,2021,6
hamilton,1,107.394,6,2021,6
max_verstappen,2,107.548,6,2021,6
hamilton,1,104.85900000000001,1,2021,7
max_verstappen,2,106.339,1,2021,7
bottas,3,106.833,1,2021,7
perez,4,108.257,1,2021,7
sainz,5,108.811,1,2021,7
gasly,6,110.025,1,2021,7
leclerc,7,110.607,1,2021,7
alonso,8,110.69,1,2021,7
ricciardo,9,111.35,1,2021,7
norris,10,111.536,1,2021,7
ocon,11,112.392,1,2021,7
vettel,12,112.84700000000001,1,2021,7
giovinazzi,13,113.16499999999999,1,2021,7
raikkonen,14,113.586,1,2021,7
latifi,15,114.22800000000001,1,2021,7
stroll,16,115.00200000000001,1,2021,7
russell,17,115.42,1,2021,7
tsunoda,18,115.798,1,2021,7
mick_schumacher,19,116.462,1,2021,7
mazepin,20,117.02600000000001,1,2021,7
hamilton,1,99.625,2,2021,7
max_verstappen,2,99.613,2,2021,7
bottas,3,100.188,2,2021,7
perez,4,100.612,2,2021,7
sainz,5,101.54599999999999,2,2021,7
gasly,6,101.402,2,2021,7
leclerc,7,101.749,2,2021,7
alonso,8,102.37,2,2021,7
ricciardo,9,102.49199999999999,2,2021,7
norris,10,103.52600000000001,2,2021,7
vettel,11,102.97399999999999,2,2021,7
ocon,12,103.919,2,2021,7
giovinazzi,13,103.587,2,2021,7
raikkonen,14,103.743,2,2021,7
stroll,15,103.047,2,2021,7
latifi,16,104.439,2,2021,7
tsunoda,17,103.22800000000001,2,2021,7
russell,18,104.277,2,2021,7
mick_schumacher,19,104.178,2,2021,7
mazepin,20,104.607,2,2021,7
hamilton,1,99.77600000000001,3,2021,7
max_verstappen,2,99.571,3,2021,7
bottas,3,99.822,3,2021,7
perez,4,100.549,3,2021,7
sainz,5,101.069,3,2021,7
gasly,6,101.048,3,2021,7
leclerc,7,100.84700000000001,3,2021,7
alonso,8,100.797,3,2021,7
ricciardo,9,101.218,3,2021,7
norris,10,101.38900000000001,3,2021,7
vettel,11,101.46000000000001,3,2021,7
ocon,12,101.83,3,2021,7
giovinazzi,13,102.095,3,2021,7
raikkonen,14,102.22200000000001,3,2021,7
stroll,15,101.9,3,2021,7
latifi,16,102.49600000000001,3,2021,7
tsunoda,17,102.618,3,2021,7
russell,18,103.16,3,2021,7
mick_schumacher,19,102.66,3,2021,7
mazepin,20,102.672,3,2021,7
hamilton,1,99.69200000000001,4,2021,7
max_verstappen,2,100.024,4,2021,7
bottas,3,99.88900000000001,4,2021,7
perez,4,100.419,4,2021,7
sainz,5,101.08500000000001,4,2021,7
gasly,6,100.899,4,2021,7
leclerc,7,101.116,4,2021,7
alonso,8,101.49799999999999,4,2021,7
ricciardo,9,101.124,4,2021,7
norris,10,101.538,4,2021,7
vettel,11,101.72800000000001,4,2021,7
ocon,12,101.55,4,2021,7
giovinazzi,13,101.479,4,2021,7
raikkonen,14,101.28,4,2021,7
stroll,15,101.411,4,2021,7
tsunoda,16,101.485,4,2021,7
latifi,17,103.55199999999999,4,2021,7
russell,18,102.63499999999999,4,2021,7
mazepin,19,102.601,4,2021,7
mick_schumacher,20,107.60300000000001,4,2021,7
hamilton,1,99.549,5,2021,7
max_verstappen,2,99.408,5,2021,7
bottas,3,99.293,5,2021,7
perez,4,99.99799999999999,5,2021,7
sainz,5,100.342,5,2021,7
gasly,6,100.313,5,2021,7
leclerc,7,100.393,5,2021,7
alonso,8,100.733,5,2021,7
ricciardo,9,100.531,5,2021,7
norris,10,100.53999999999999,5,2021,7
vettel,11,100.53399999999999,5,2021,7
ocon,12,101.021,5,2021,7
giovinazzi,13,101.075,5,2021,7
raikkonen,14,101.507,5,2021,7
stroll,15,101.613,5,2021,7
